timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743036376;0,131083|-0,090381|10,032304;-0,000533|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,135871|-0,091578|10,016143;0,000266|0,001065|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,129885|-0,091578|10,032304;-0,000133|0,000533|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,129287|-0,093374|10,040085;0,000000|-0,000399|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,131681|-0,082001|10,032304;0,000666|0,000000|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,120907|-0,097564|10,032902;-0,000133|-0,000133|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036376;0,131681|-0,090381|10,031106;-0,000266|0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,123301|-0,092177|10,019734;0,000266|0,000000|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,123900|-0,092177|10,029311;-0,000266|0,000799|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,119112|-0,089184|10,029909;0,000399|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,125696|-0,093374|10,029909;0,000399|0,000000|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,128090|-0,099359|10,020931;-0,000133|0,000666|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,129885|-0,085593|10,020332;0,000266|-0,000399|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,119112|-0,080206|10,016741;-0,000399|0,000666|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,131681|-0,084994|10,026917;0,000000|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,123301|-0,084396|10,020931;0,000000|0,000533|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036377;0,128688|-0,095768|10,025121;-0,000399|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,124498|-0,090980|10,028113;0,000000|0,001332|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,129885|-0,090980|10,031705;0,000000|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,120309|-0,081403|10,030508;-0,001465|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,116119|-0,087987|10,017340;0,000799|0,000666|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,131681|-0,087987|10,018537;-0,000266|-0,000666|0,000000;-0,125606|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,138265|-0,140061|10,032902;-0,000533|-0,000399|-0,000266;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,129287|-0,319626|10,025121;-0,002796|-0,001198|0,004261;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,132280|-0,420182|10,028113;-0,001731|0,000000|0,007590;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,145448|-0,462679|10,022727;0,000266|0,000533|0,005859;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036378;0,138864|-0,451307|10,031705;0,004794|0,001198|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,046687|0,101754|10,035296;-0,002929|0,001332|0,009587;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,102352|0,976236|10,021529;-0,000266|0,001731|0,003862;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,145448|0,167594|10,033501;-0,002264|-0,000266|-0,000399;0,624600|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,167594|0,016759|10,042479;0,003063|0,000399|0,002530;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,144849|0,211288|10,058640;0,000000|0,000666|0,003728;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,135871|0,251990|10,028712;-0,000266|0,000932|-0,000266;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,155025|0,202909|10,033501;0,001731|0,000533|-0,004261;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,169390|0,227449|10,045471;-0,003329|-0,001465|-0,005459;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,150236|0,277129|10,004770;0,006525|0,000133|-0,000666;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036379;0,164601|0,153229|9,946711;0,005193|-0,001997|-0,005593;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,025139|0,134674|9,885060;0,000533|-0,009854|-0,012517;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,049680|0,051475|9,871892;-0,002264|-0,005193|-0,004128;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,049081|0,088585|10,042479;0,003595|-0,003063|0,001864;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,136469|0,119710|9,942521;0,008788|0,001198|0,009188;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,155623|0,568024|9,883265;0,001065|-0,002131|0,013715;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,111330|0,107739|9,981427;0,008788|-0,008123|0,012517;0,441203|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,171784|0,394445|9,709684;0,003196|-0,006525|0,007989;0,102422|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;-0,038906|-0,177769|10,263344;-0,002264|-0,012517|-0,005726;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,087987|-1,269525|10,051457;-0,007324|0,001332|0,001864;0,183646|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036380;0,270545|-0,445322|10,156802;0,010386|0,000799|-0,007723;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,152032|-0,128688|10,032304;-0,019308|0,005193|-0,003063;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,122703|0,270545|10,040683;0,001731|0,001997|-0,008522;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,110732|0,232836|10,071209;0,005992|0,003595|-0,007057;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,276530|0,439336|9,932944;-0,001598|-0,002929|-0,008655;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,196923|0,084994|10,325593;-0,005859|0,000399|-0,005992;0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;-0,011971|0,137667|10,180744;-0,000666|-0,014115|-0,013582;0,331397|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,171185|-0,347159|10,432136;-0,022371|-0,003862|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,107739|-0,910395|10,050858;-0,009188|-0,003995|-0,007723;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,048483|-1,116297|9,898229;-0,008389|-0,002131|-0,005859;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036381;0,036512|-1,156399|9,871293;-0,004128|0,000932|-0,001465;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,068833|-0,900818|9,988010;-0,001332|-0,000533|-0,003728;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,062249|0,149638|9,951499;-0,004927|0,000266|0,004394;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,116119|0,013168|10,021529;0,006125|0,001598|0,000666;-0,694198|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,110133|-0,523133|10,095750;-0,008922|-0,001465|-0,010386;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,158017|-0,344765|9,996390;0,000133|-0,001198|0,003063;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,153229|-0,408810|10,010756;-0,001332|-0,000399|0,000133;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,158017|-0,362123|10,041282;0,003862|-0,001864|-0,001465;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,137068|-0,373495|10,044274;0,004794|0,001465|-0,001065;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
1743036382;0,178368|-0,430956|9,999383;0,008389|-0,000533|0,002397;-0,700000|0,000000|0,000000;0,000000|0,000000|-0,000000;90,000000;
